fold,classifier,splitter,window,overlap,train_subject_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
6,0,0,10,0.0,0.25,0,0.36809815950920244,0.26313628899835795,0.5512176560121765,0.6733333333333333,0.5904780564263323,0.5093596059113301,0.5799002886381527,0.595558708580396,0.6722222222222223,0.5736677115987461,raw
7,0,0,10,0.0,0.25,0,0.345679012345679,0.26067323481116583,0.5864197530864197,0.6594180225281602,0.5508620689655173,0.5124560168895145,0.5657520325203251,0.5784392514642996,0.7591684822076978,0.6006333567909923,raw
8,0,0,10,0.0,0.25,0,0.35185185185185186,0.26108374384236455,0.49310344827586206,0.6828335373317014,0.5775862068965517,0.5063335679099226,0.6012414383561644,0.5896932285821175,0.6154718693284936,0.5420478536242084,raw
9,0,0,10,0.0,0.25,0,0.36419753086419754,0.2557471264367816,0.5722222222222222,0.6519401589527817,0.5761755485893417,0.5009148486980999,0.6099812265331664,0.5852058746393916,0.6193236714975845,0.5524598554155205,raw
0,0,0,10,0.0,0.5,0,0.42153846153846153,0.3171182266009852,0.6504046419300658,0.649890093231259,0.5855911330049262,0.5259176863181312,0.6402768622280817,0.5704280341408816,0.7455124079239076,0.6571984744954711,raw
1,0,0,10,0.0,0.5,0,0.49538461538461537,0.312192118226601,0.650168363051963,0.7032908704883227,0.5782019704433498,0.563670745272525,0.675793117187111,0.5882480470606786,0.7825884543761639,0.6478825679326236,raw
2,0,0,10,0.0,0.5,0,0.42153846153846153,0.3226600985221675,0.6448029517977705,0.6443935393694673,0.5923645320197044,0.5618020022246941,0.7070688638724347,0.5951930612490958,0.7012181677874545,0.6310384554266646,raw
3,0,0,10,0.0,0.5,0,0.47384615384615386,0.31896551724137934,0.6954196698442223,0.6784749034749036,0.5923645320197044,0.5551056729699666,0.7325867796998511,0.5910486171400223,0.7367827720768898,0.6351303035118385,raw
4,0,0,10,0.0,0.5,0,0.42592592592592593,0.3078817733990148,0.6507068551613764,0.6467148262813898,0.5874384236453203,0.5498776418242491,0.6363636363636364,0.5829407149963405,0.7599110250062784,0.6632766566025743,raw
5,0,0,10,0.0,0.5,0,0.4492307692307692,0.3054187192118227,0.6483945674360182,0.6694197615250247,0.5775862068965517,0.5436484983314794,0.6919920383902279,0.5779035218644838,0.732857619004333,0.6364810106467504,raw
6,0,0,10,0.0,0.5,0,0.4646153846153846,0.32019704433497537,0.653957528957529,0.6924915201973482,0.5899014778325123,0.5628253615127919,0.7154720782959125,0.5960457056493642,0.7236780258519389,0.6228746225965358,raw
7,0,0,10,0.0,0.5,0,0.4307692307692308,0.3103448275862069,0.6583504215083162,0.6410547851784496,0.5763546798029556,0.5495661846496107,0.646865422123154,0.5796105280271691,0.7271190023250899,0.6489750516446846,raw
8,0,0,10,0.0,0.5,0,0.44,0.3195812807881773,0.6755424063116371,0.6206994759626339,0.5843596059113301,0.5523248053392659,0.6510052447552448,0.5829201860692863,0.7322225682549569,0.6662164309550294,raw
9,0,0,10,0.0,0.5,0,0.43209876543209874,0.31650246305418717,0.690723640999884,0.6522241034323535,0.5751231527093597,0.5583092324805339,0.7060499186109603,0.586765581767052,0.7160438264324291,0.6223979024312729,raw
0,0,0,10,0.0,0.75,0,0.48565573770491804,0.3891625615763547,0.6676788124156545,0.6884114035825415,0.5812807881773399,0.6432786280656463,0.6896135265700483,0.6408732266140658,0.7100562480997263,0.7299333526514054,raw
1,0,0,10,0.0,0.75,0,0.4414784394250513,0.40763546798029554,0.6724220052393427,0.6391279403327597,0.5911330049261083,0.6453070256315692,0.6706323657027685,0.6450316169828365,0.6955189177763687,0.7381193856853085,raw
2,0,0,10,0.0,0.75,0,0.4106776180698152,0.3768472906403941,0.6506743443402636,0.6119324894514768,0.5714285714285714,0.6344274386870736,0.645268721516598,0.633530942741469,0.6830151515151515,0.7202984642132715,raw
